orderItemID;prediction
1;0
2;0
3;1
4;0
5;0
6;0
7;1
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;0
16;0
17;0
18;0
19;1
20;0
21;0
22;1
23;1
24;1
25;1
26;0
27;1
28;1
29;1
30;1
31;0
32;1
33;0
34;0
35;1
36;1
37;1
38;0
39;1
40;1
41;1
42;1
43;0
44;1
45;0
46;0
47;0
48;1
49;0
50;0
51;0
52;0
53;0
54;0
55;0
56;0
57;0
58;0
59;0
60;1
61;0
62;1
63;0
64;1
65;1
66;1
67;0
68;0
69;0
70;0
71;0
72;0
73;0
74;0
75;0
76;0
77;0
78;1
79;0
80;1
81;1
82;1
83;0
84;0
85;0
86;1
87;0
88;0
89;1
90;1
91;1
92;0
93;0
94;1
95;1
96;1
97;1
98;0
99;1
100;0
101;1
102;1
103;1
104;1
105;1
106;1
107;1
108;1
109;1
110;1
111;0
112;0
113;0
114;0
115;0
116;1
117;1
118;1
119;1
120;1
121;1
122;1
123;1
124;0
125;0
126;0
127;0
128;1
129;1
130;1
131;1
132;1
133;0
134;1
135;1
136;1
137;1
138;1
139;1
140;1
141;0
142;0
143;0
144;0
145;1
146;1
147;1
148;0
149;0
150;0
151;0
152;0
153;0
154;0
155;0
156;0
157;0
158;0
159;0
160;0
161;0
162;1
163;0
164;0
165;0
166;0
167;0
168;0
169;1
170;1
171;1
172;1
173;1
174;1
175;0
176;0
177;0
178;0
179;0
180;0
181;0
182;1
183;0
184;0
185;0
186;0
187;0
188;1
189;0
190;1
191;1
192;1
193;1
194;1
195;1
196;1
197;0
198;0
199;1
200;1
201;1
202;1
203;1
204;1
205;0
206;0
207;0
208;0
209;1
210;0
211;0
212;0
213;1
214;0
215;0
216;0
217;0
218;0
219;1
220;0
221;0
222;0
223;0
224;0
225;0
226;0
227;1
228;1
229;1
230;0
231;0
232;1
233;1
234;0
235;0
236;0
237;0
238;0
239;1
240;0
241;1
242;1
243;0
244;1
245;1
246;1
247;1
248;1
249;1
250;1
251;1
252;1
253;1
254;0
255;0
256;0
257;0
258;0
259;1
260;1
261;0
262;0
263;0
264;1
265;1
266;1
267;0
268;0
269;1
270;0
271;0
272;0
273;0
274;1
275;1
276;0
277;0
278;1
279;1
